Fly ash (Kg/m3),Slag (Kg/m3),Metakaolin (Kg/m3),Sodium Silicate (Kg/m3),Sodium Hydroxide (Kg/m3),Superplasticizer (Kg/m3),Fine Aggregate (Kg/m3),Coarse Aggregate (Kg/m3),Water (Kg/m3),Curing Temperature (C),Curing Days,CS (Mpa)
0,300,0,72,48,17.5,828,984,0,27,28,66.75
0,300,0,99,66,17.5,828,984,0,27,28,71.2
0,450,0,108,72,17.5,828,984,0,27,28,74.53
0,450,0,148.5,99,17.5,828,984,0,27,28,79.87
80,320,0,46.6,93.3,0,670,1041,48,23,3,28
80,320,0,46.6,93.3,0,670,1041,48,23,7,39
120,280,0,46.6,93.3,0,670,1041,56,23,3,31
120,280,0,46.6,93.3,0,670,1041,56,23,7,37
160,240,0,46.6,93.3,0,670,1041,64,23,3,27
160,240,0,46.6,93.3,0,670,1041,64,23,7,34
0,311,0,10.4,17.45,0,744,1163,155.5,80,28,2.64
50,281,0,33.11,20.2,0,723,1102,144.47,80,28,7.52
105,244,0,70.07,20.84,0,703,1095,131.16,80,28,61.35
165,202,0,122.96,21.92,0,682,1067,107.61,80,28,68.54
0,400,0,60.19,22.13,0,682,1067,142.68,80,28,47.26
56,317,0,49.88,16.54,0,703,1099,136.88,80,28,10.45
104,242,0,28.95,30.8,0,723,1102,137.87,80,28,76.35
144,176,0,42.83,22.47,0,744,1163,117.52,80,28,70.56
0,375,0,100.32,20.44,0,723,1102,87.8,80,28,86.24
52,294,0,86.9,24.04,0,744,1163,84.71,80,28,89.52
125,292,0,27.86,21.73,0,682,1067,149.32,80,28,16.58
175,213,0,19.47,26.02,0,703,1095,143.17,80,28,53.68
0,427,0,71.34,33.78,0,703,1095,105.1,80,28,96.58
67,381,0,28.99,34.97,0,682,1067,138.36,80,28,92.24
110,256,0,78.31,18.06,0,744,1163,82.42,80,28,62.54
174,213,0,38.86,18.69,0,723,1102,111.47,80,28,35.64
0,311,0,10.4,17.45,0,744,1163,155.5,80,1,3.24
50,281,0,33.11,20.2,0,723,1102,144.47,80,1,5.36
105,244,0,70.07,20.84,0,703,1095,131.16,80,1,75.24
165,202,0,122.96,21.92,0,682,1067,107.61,80,1,80.51
0,400,0,60.19,22.13,0,682,1067,142.68,80,1,62.35
56,317,0,49.88,16.54,0,703,1099,136.88,80,1,5.24
104,242,0,28.95,30.8,0,723,1102,137.87,80,1,110.21
144,176,0,42.83,22.47,0,744,1163,117.52,80,1,86.21
0,375,0,100.32,20.44,0,723,1102,87.8,80,1,110.25
52,294,0,86.9,24.04,0,744,1163,84.71,80,1,108.24
125,292,0,27.86,21.73,0,682,1067,149.32,80,1,20.34
175,213,0,19.47,26.02,0,703,1095,143.17,80,1,68.35
0,427,0,71.34,33.78,0,703,1095,105.1,80,1,120.35
67,381,0,28.99,34.97,0,682,1067,138.36,80,1,110.35
110,256,0,78.31,18.06,0,744,1163,82.42,80,1,79.25
174,213,0,38.86,18.69,0,723,1102,111.47,80,1,45.24
139,208,0,70.72,10.7,0,702.78,1099,129.72,80,28,3.36
139,208,0,47.15,15.05,0,703,1099,144.34,80,28,1.25
139,208,0,70.72,16.64,0,702.78,1099,129.72,80,28,7.82
118,275,0,106.61,13.9,0,682.11,1067,110.5,80,28,51.35
118,275,0,66.63,21.26,0,682,1067,135.29,80,28,48.65
118,275,0,106.61,20.61,0,682.11,1067,110.5,80,28,72.68
89,355,0,120.6,23.31,0,661.44,1034,102.81,80,28,89.98
89,355,0,90.45,28.87,0,661,1034,121.5,80,28,83.26
89,355,0,150.75,25.34,0,661.44,1034,84.12,80,28,87.25
89,355,0,120.6,30.9,0,661.44,1034,102.81,80,28,95.21
118,275,0,106.61,20.61,0,682.11,1067,130.12,80,28,73.48
118,275,0,106.61,20.61,0,682.11,1067,90.88,80,28,83.31
118,275,0,79.95,23.87,0,682.11,1067,127.03,80,28,85.62
118,275,0,53.3,27.14,0,682.11,1067,143.55,80,28,67.51
139,208,0,70.72,10.7,0,702.78,1099,129.72,80,1,6.35
139,208,0,47.15,15.05,0,703,1099,144.34,80,1,5.24
139,208,0,70.72,16.64,0,702.78,1099,129.72,80,1,5
118,275,0,106.61,13.9,0,682.11,1067,110.5,80,1,66.81
118,275,0,66.63,21.26,0,682,1067,135.29,80,1,70.44
118,275,0,106.61,20.61,0,682.11,1067,110.5,80,1,84.24
89,355,0,120.6,23.31,0,661.44,1034,102.81,80,1,106.52
89,355,0,90.45,28.87,0,661,1034,121.5,80,1,103.24
89,355,0,150.75,25.34,0,661.44,1034,84.12,80,1,107.1
89,355,0,120.6,30.9,0,661.44,1034,102.81,80,1,112.4
118,275,0,106.61,20.61,0,682.11,1067,130.12,80,1,98.62
118,275,0,106.61,20.61,0,682.11,1067,90.88,80,1,107.25
118,275,0,79.95,23.87,0,682.11,1067,127.03,80,1,103.5
118,275,0,53.3,27.14,0,682.11,1067,143.55,80,1,78.2
120,360,0,160,6.4,0,810.6,552.8,131.9,25,7,11
120,360,0,171.4,5.5,0,807.4,550.6,138.2,25,7,11.5
120,360,0,180,4.8,0,804.9,549,142.9,25,7,10
120,360,0,186.7,4.3,0,803.1,547.7,146.6,25,7,9.5
120,360,0,192,3.8,0,801.5,546.6,149.5,25,7,8.5
120,360,0,196.4,3.5,0,800.3,545.8,151.9,25,7,8
120,360,0,160,11.9,0,800.3,545.8,140.4,25,7,24
120,360,0,171.4,10.2,0,798.6,544.6,145.4,25,7,22
120,360,0,180,8.9,0,787.2,543.7,149.3,25,7,18
120,360,0,186.7,7.9,0,796.2,543,152.2,25,7,16
120,360,0,192,7.2,0,795.4,542.4,154.6,25,7,14
120,360,0,196.4,6.5,0,794.7,542,156.5,25,7,13
120,360,0,160,16.7,0,791.4,539.7,147.7,25,7,35
120,360,0,171.4,14.3,0,790.9,539.4,151.7,25,7,32.5
120,360,0,180,12.5,0,790.5,539.1,154.8,25,7,31.9
120,360,0,186.7,11.2,0,790.3,538.9,157.1,25,7,30.02
120,360,0,192,10,0,790,538.8,159,25,7,28
120,360,0,196.4,9.1,0,789.8,538.7,150.6,25,7,27.89
120,360,0,160,21,0,783.5,534.4,154.2,25,7,45
120,360,0,171.4,18,0,784.2,534.8,157.3,25,7,42
120,360,0,180,15.7,0,784.6,535.1,159.6,25,7,39
120,360,0,186.7,14,0,785,535.4,161.4,25,7,38
120,360,0,192,12.6,0,785.3,535.6,162.9,25,7,37.85
120,360,0,196.4,11.4,0,785.6,535.7,164.1,25,7,38.49
120,360,0,160,24.7,0,776.6,529.6,159.9,25,7,55
120,360,0,171.4,21.2,0,778.2,530.7,162.2,25,7,53
120,360,0,180,18.5,0,779.4,531.6,163.9,25,7,50
120,360,0,186.7,16.5,0,780.4,532.2,165.2,25,7,49
120,360,0,192,14.8,0,781.1,532.7,166.3,25,7,50.02
120,360,0,196.4,13.5,0,781.8,533.2,167.2,25,7,48
120,360,0,160,28,0,770.4,525.4,165,25,7,56
120,360,0,171.4,24,0,772.9,527.1,166.6,25,7,55
120,360,0,180,21,0,774.8,528.4,167.7,25,7,50
120,360,0,186.7,18.7,0,776.2,529.4,168.6,25,7,51
120,360,0,192,16.8,0,777.4,530.2,169.4,25,7,49
120,360,0,196.4,15.3,0,778.4,530.8,170,25,7,44
120,360,0,160,6.4,0,810.6,552.8,131.9,25,28,12.8
120,360,0,171.4,5.5,0,807.4,550.6,138.2,25,28,11
120,360,0,180,4.8,0,804.9,549,142.9,25,28,11.9
120,360,0,186.7,4.3,0,803.1,547.7,146.6,25,28,9.8
120,360,0,192,3.8,0,801.5,546.6,149.5,25,28,8
120,360,0,196.4,3.5,0,800.3,545.8,151.9,25,28,7.6
120,360,0,160,11.9,0,800.3,545.8,140.4,25,28,26
120,360,0,171.4,10.2,0,798.6,544.6,145.4,25,28,28
120,360,0,180,8.9,0,787.2,543.7,149.3,25,28,25
120,360,0,186.7,7.9,0,796.2,543,152.2,25,28,23
120,360,0,192,7.2,0,795.4,542.4,154.6,25,28,20
120,360,0,196.4,6.5,0,794.7,542,156.5,25,28,14
120,360,0,160,16.7,0,791.4,539.7,147.7,25,28,38
120,360,0,171.4,14.3,0,790.9,539.4,151.7,25,28,36.5
120,360,0,180,12.5,0,790.5,539.1,154.8,25,28,35
120,360,0,186.7,11.2,0,790.3,538.9,157.1,25,28,34
120,360,0,192,10,0,790,538.8,159,25,28,29
120,360,0,196.4,9.1,0,789.8,538.7,150.6,25,28,28
120,360,0,160,21,0,783.5,534.4,154.2,25,28,50
120,360,0,171.4,18,0,784.2,534.8,157.3,25,28,49
120,360,0,180,15.7,0,784.6,535.1,159.6,25,28,48
120,360,0,186.7,14,0,785,535.4,161.4,25,28,45
120,360,0,192,12.6,0,785.3,535.6,162.9,25,28,42
120,360,0,196.4,11.4,0,785.6,535.7,164.1,25,28,40
120,360,0,160,24.7,0,776.6,529.6,159.9,25,28,58
120,360,0,171.4,21.2,0,778.2,530.7,162.2,25,28,56
120,360,0,180,18.5,0,779.4,531.6,163.9,25,28,55
120,360,0,186.7,16.5,0,780.4,532.2,165.2,25,28,53.5
120,360,0,192,14.8,0,781.1,532.7,166.3,25,28,53
120,360,0,196.4,13.5,0,781.8,533.2,167.2,25,28,50
120,360,0,160,28,0,770.4,525.4,165,25,28,59
120,360,0,171.4,24,0,772.9,527.1,166.6,25,28,56
120,360,0,180,21,0,774.8,528.4,167.7,25,28,57
120,360,0,186.7,18.7,0,776.2,529.4,168.6,25,28,54
120,360,0,192,16.8,0,777.4,530.2,169.4,25,28,54.5
120,360,0,196.4,15.3,0,778.4,530.8,170,25,28,50
120,360,0,160,6.4,0,810.6,552.8,131.9,25,56,13
120,360,0,171.4,5.5,0,807.4,550.6,138.2,25,56,11
120,360,0,180,4.8,0,804.9,549,142.9,25,56,10.8
120,360,0,186.7,4.3,0,803.1,547.7,146.6,25,56,10
120,360,0,192,3.8,0,801.5,546.6,149.5,25,56,9
120,360,0,196.4,3.5,0,800.3,545.8,151.9,25,56,8.6
120,360,0,160,11.9,0,800.3,545.8,140.4,25,56,26.45
120,360,0,171.4,10.2,0,798.6,544.6,145.4,25,56,25.86
120,360,0,180,8.9,0,787.2,543.7,149.3,25,56,24.64
120,360,0,186.7,7.9,0,796.2,543,152.2,25,56,23.89
120,360,0,192,7.2,0,795.4,542.4,154.6,25,56,16.92
120,360,0,196.4,6.5,0,794.7,542,156.5,25,56,14.68
120,360,0,160,16.7,0,791.4,539.7,147.7,25,56,41
120,360,0,171.4,14.3,0,790.9,539.4,151.7,25,56,39
120,360,0,180,12.5,0,790.5,539.1,154.8,25,56,35
120,360,0,186.7,11.2,0,790.3,538.9,157.1,25,56,34.93
120,360,0,192,10,0,790,538.8,159,25,56,31.65
120,360,0,196.4,9.1,0,789.8,538.7,150.6,25,56,26.33
120,360,0,160,21,0,783.5,534.4,154.2,25,56,52
120,360,0,171.4,18,0,784.2,534.8,157.3,25,56,51.32
120,360,0,180,15.7,0,784.6,535.1,159.6,25,56,46.34
120,360,0,186.7,14,0,785,535.4,161.4,25,56,44.64
120,360,0,192,12.6,0,785.3,535.6,162.9,25,56,40.91
120,360,0,196.4,11.4,0,785.6,535.7,164.1,25,56,40
120,360,0,160,24.7,0,776.6,529.6,159.9,25,56,62
120,360,0,171.4,21.2,0,778.2,530.7,162.2,25,56,58
120,360,0,180,18.5,0,779.4,531.6,163.9,25,56,52
120,360,0,186.7,16.5,0,780.4,532.2,165.2,25,56,51.32
120,360,0,192,14.8,0,781.1,532.7,166.3,25,56,57.96
120,360,0,196.4,13.5,0,781.8,533.2,167.2,25,56,52.61
120,360,0,160,28,0,770.4,525.4,165,25,56,58.96
120,360,0,171.4,24,0,772.9,527.1,166.6,25,56,57.33
120,360,0,180,21,0,774.8,528.4,167.7,25,56,54.96
120,360,0,186.7,18.7,0,776.2,529.4,168.6,25,56,53.77
120,360,0,192,16.8,0,777.4,530.2,169.4,25,56,55.32
120,360,0,196.4,15.3,0,778.4,530.8,170,25,56,51.36
120,360,0,160,6.4,0,810.6,552.8,131.9,25,90,14
120,360,0,171.4,5.5,0,807.4,550.6,138.2,25,90,12
120,360,0,180,4.8,0,804.9,549,142.9,25,90,11
120,360,0,186.7,4.3,0,803.1,547.7,146.6,25,90,10
120,360,0,192,3.8,0,801.5,546.6,149.5,25,90,9.7
120,360,0,196.4,3.5,0,800.3,545.8,151.9,25,90,9.5
120,360,0,160,11.9,0,800.3,545.8,140.4,25,90,27.6
120,360,0,171.4,10.2,0,798.6,544.6,145.4,25,90,26.8
120,360,0,180,8.9,0,787.2,543.7,149.3,25,90,25
120,360,0,186.7,7.9,0,796.2,543,152.2,25,90,24.8
120,360,0,192,7.2,0,795.4,542.4,154.6,25,90,22.6
120,360,0,196.4,6.5,0,794.7,542,156.5,25,90,18.85
120,360,0,160,16.7,0,791.4,539.7,147.7,25,90,40.06
120,360,0,171.4,14.3,0,790.9,539.4,151.7,25,90,39.82
120,360,0,180,12.5,0,790.5,539.1,154.8,25,90,37.41
120,360,0,186.7,11.2,0,790.3,538.9,157.1,25,90,34.61
120,360,0,192,10,0,790,538.8,159,25,90,32.94
120,360,0,196.4,9.1,0,789.8,538.7,150.6,25,90,25.42
120,360,0,160,21,0,783.5,534.4,154.2,25,90,54
120,360,0,171.4,18,0,784.2,534.8,157.3,25,90,48
120,360,0,180,15.7,0,784.6,535.1,159.6,25,90,47
120,360,0,186.7,14,0,785,535.4,161.4,25,90,42.6
120,360,0,192,12.6,0,785.3,535.6,162.9,25,90,44
120,360,0,196.4,11.4,0,785.6,535.7,164.1,25,90,39.86
120,360,0,160,24.7,0,776.6,529.6,159.9,25,90,63
120,360,0,171.4,21.2,0,778.2,530.7,162.2,25,90,59.65
120,360,0,180,18.5,0,779.4,531.6,163.9,25,90,54
120,360,0,186.7,16.5,0,780.4,532.2,165.2,25,90,53.96
120,360,0,192,14.8,0,781.1,532.7,166.3,25,90,59
120,360,0,196.4,13.5,0,781.8,533.2,167.2,25,90,52
120,360,0,160,28,0,770.4,525.4,165,25,90,63
120,360,0,171.4,24,0,772.9,527.1,166.6,25,90,58
120,360,0,180,21,0,774.8,528.4,167.7,25,90,54
120,360,0,186.7,18.7,0,776.2,529.4,168.6,25,90,52.3
120,360,0,192,16.8,0,777.4,530.2,169.4,25,90,54.63
120,360,0,196.4,15.3,0,778.4,530.8,170,25,90,51.98
0,400,0,143,57.1,8,810,990,56,22,3,58.32
0,400,0,143,57.1,8,810,990,56,22,28,89.6
0,400,0,143,57.1,12,810,990,56,23,3,57
0,400,0,143,57.1,12,810,990,56,23,28,89.2
0,400,0,143,57.1,16,810,990,56,24,3,56.24
0,400,0,143,57.1,16,810,990,56,24,28,88.7
0,400,0,143,57.1,20,810,990,56,25,3,54.2
0,400,0,143,57.1,20,810,990,56,25,28,86.11
0,400,0,143,57.1,24,810,990,56,26,3,52.33
0,400,0,143,57.1,24,810,990,56,26,28,84.1
400,0,0,120,60,0,600,1200,80,27,28,24
400,0,0,120,60,0,600,1200,80,400,28,38
400,0,0,120,60,0,600,1200,80,600,28,21
400,0,0,120,60,0,600,1200,80,800,28,17
400,0,0,120,60,0,600,1200,80,1000,28,12
410,0,0,147,58,0,590,1100,69,70,7,26
410,0,0,147,58,0,590,1100,69,70,14,32
410,0,0,147,58,0,590,1100,69,70,28,38
410,55,0,147,58,0,590,1045,69,70,7,27
410,55,0,147,58,0,590,1045,69,70,14,32.6
410,55,0,147,58,0,590,1045,69,70,28,40
410,110,0,147,58,0,590,990,69,70,7,28
410,110,0,147,58,0,590,990,69,70,14,31
410,110,0,147,58,0,590,990,69,70,28,40.16
410,165,0,147,58,0,590,935,69,70,7,29.61
410,165,0,147,58,0,590,935,69,70,14,34.95
410,165,0,147,58,0,590,935,69,70,28,40.24
410,220,0,147,58,0,590,880,69,70,7,32.5
410,220,0,147,58,0,590,880,69,70,14,35
410,220,0,147,58,0,590,880,69,70,28,41.85
410,275,0,147,58,0,590,825,69,70,7,34.13
410,275,0,147,58,0,590,825,69,70,14,36.22
410,275,0,147,58,0,590,825,69,70,28,42.41
410,330,0,147,58,0,590,770,69,70,7,34.51
410,330,0,147,58,0,590,770,69,70,14,37
410,330,0,147,58,0,590,770,69,70,28,44
410,385,0,147,58,0,590,715,69,70,7,32
410,385,0,147,58,0,590,715,69,70,14,33.54
410,385,0,147,58,0,590,715,69,70,28,40.18
410,440,0,147,58,0,590,660,69,70,7,28.33
410,440,0,147,58,0,590,660,69,70,14,30
410,440,0,147,58,0,590,660,69,70,28,33.25
410,330,0,102.5,41,0,590,770,69,70,7,31
410,330,0,102.5,41,0,590,770,69,70,14,34
410,330,0,102.5,41,0,590,770,69,70,28,36
410,330,0,117,47,0,590,770,69,70,7,32
410,330,0,117,47,0,590,770,69,70,14,35
410,330,0,117,47,0,590,770,69,70,28,36.41
410,330,0,131.5,53,0,590,770,69,70,7,33
410,330,0,131.5,53,0,590,770,69,70,14,38
410,330,0,131.5,53,0,590,770,69,70,28,39
410,330,0,147,58,0,590,770,69,70,7,35
410,330,0,147,58,0,590,770,69,70,14,41
410,330,0,147,58,0,590,770,69,70,28,44
410,330,0,157,63,0,590,770,69,70,7,32
410,330,0,157,63,0,590,770,69,70,14,43
410,330,0,157,63,0,590,770,69,70,28,44.62
410,330,0,176,70,0,590,770,69,70,7,38
410,330,0,176,70,0,590,770,69,70,14,42.31
410,330,0,176,70,0,590,770,69,70,28,48
410,330,0,190.5,76,0,590,770,69,70,7,35
410,330,0,190.5,76,0,590,770,69,70,14,39
410,330,0,190.5,76,0,590,770,69,70,28,43
410,330,0,205.5,82,0,590,770,69,70,7,31.87
410,330,0,205.5,82,0,590,770,69,70,14,37
410,330,0,205.5,82,0,590,770,69,70,28,38.62
0,0,400,90,45,0,600,1250,0,21,28,38
0,0,400,90,45,0,600,1140,0,21,28,36
0,0,400,90,45,0,600,1140,0,21,28,30
0,0,400,90,45,0,600,1140,0,21,28,28
0,0,400,115,45,0,600,1250,0,21,28,40
0,0,400,115,45,0,600,1140,0,21,28,38
0,0,400,115,45,0,600,1140,0,21,28,30
0,0,400,115,45,0,600,1140,0,21,28,29
0,0,400,135,45,0,600,1250,0,21,28,39
0,0,400,135,45,0,600,1140,0,21,28,37
0,0,400,135,45,0,600,1140,0,21,28,33
0,0,400,135,45,0,600,1140,0,21,28,31
336,96,0,171.43,68.6,0,504,1176,0,25,7,27.17
336,96,0,171.43,68.6,0,504,1176,0,25,14,43.43
336,96,0,171.43,68.6,0,504,1176,0,25,28,55.6
336,96,0,171.43,68.6,0,504,1176,0,25,90,48.14
0,400,0,87,58,0,560,1292,0,20,7,21
0,400,0,87,58,0,560,1292,0,19,28,29
0,320,0,87,58,0,560,1292,0,20,7,24
0,320,0,87,58,0,560,1292,0,19,28,34
0,240,0,87,58,0,560,1292,0,20,7,24.85
0,240,0,87,58,0,560,1292,0,19,28,36.16
0,160,0,87,58,0,560,1292,0,20,7,21
0,160,0,87,58,0,560,1292,0,19,28,29
0,400,0,145,58,0,560,1292,0,20,7,25
0,400,0,145,58,0,560,1292,0,19,28,37
0,320,0,145,58,0,560,1292,0,20,7,24.31
0,320,0,145,58,0,560,1292,0,19,28,36.8
0,240,0,145,58,0,560,1292,0,20,7,28
0,240,0,145,58,0,560,1292,0,19,28,42
0,160,0,145,58,0,560,1292,0,20,7,22.46
0,160,0,145,58,0,560,1292,0,19,28,29.36
400,0,0,113,45,4,554,1293,80,100,3,44
400,0,0,113,45,4,554,1293,80,100,7,44.2
400,0,0,113,45,4,554,1293,80,100,14,44.13
400,0,0,113,45,4,554,1293,80,100,21,43.84
400,0,0,113,45,4,554,1293,80,100,28,43.97
380,0,0,113,45,4,554,1293,80,100,3,37
380,0,0,113,45,4,554,1293,80,100,7,48
380,0,0,113,45,4,554,1293,80,100,14,47.59
380,0,0,113,45,4,554,1293,80,100,21,47.44
380,0,0,113,45,4,554,1293,80,100,28,47
360,0,0,113,45,4,554,1293,80,100,3,44
360,0,0,113,45,4,554,1293,80,100,7,44.1
360,0,0,113,45,4,554,1293,80,100,14,44.09
360,0,0,113,45,4,554,1293,80,100,21,45
360,0,0,113,45,4,554,1293,80,100,28,49
340,0,0,113,45,4,554,1293,80,100,3,64
340,0,0,113,45,4,554,1293,80,100,7,64.58
340,0,0,113,45,4,554,1293,80,100,14,68
340,0,0,113,45,4,554,1293,80,100,21,66.78
340,0,0,113,45,4,554,1293,80,100,28,68.94
320,0,0,113,45,4,554,1293,80,100,3,28
320,0,0,113,45,4,554,1293,80,100,7,34
320,0,0,113,45,4,554,1293,80,100,14,38
320,0,0,113,45,4,554,1293,80,100,21,37
320,0,0,113,45,4,554,1293,80,100,28,41
280,0,0,113,45,4,554,1293,80,100,3,29
280,0,0,113,45,4,554,1293,80,100,7,32
280,0,0,113,45,4,554,1293,80,100,14,33
280,0,0,113,45,4,554,1293,80,100,21,34
280,0,0,113,45,4,554,1293,80,100,28,40
240,0,0,113,45,4,554,1293,80,100,3,31
240,0,0,113,45,4,554,1293,80,100,7,30.09
240,0,0,113,45,4,554,1293,80,100,14,29.45
240,0,0,113,45,4,554,1293,80,100,21,29.63
240,0,0,113,45,4,554,1293,80,100,28,30
0,489.13,0,160.7,64.28,29.34,1083.33,662.5,112.5,22,28,30
0,489.13,0,160.7,64.28,29.34,1083.33,662.5,112.5,23,28,33.5
0,489.13,0,160.7,64.28,29.34,1083.33,662.5,112.5,24,28,32.7
0,489.13,0,149.9,74.99,29.34,1083.33,662.5,112.5,25,28,29.75
0,489.13,0,160.7,64.28,29.34,1083.33,662.5,112.5,26,28,31.5
0,489.13,0,168.7,56.25,29.34,1083.33,662.5,112.5,27,28,30.25
0,510.23,0,165.5,66.2,32.4,1187.21,714.5,124.2,28,28,26
0,510.23,0,165.5,66.2,32.4,1187.21,714.5,124.2,29,28,28.5
0,510.23,0,165.5,66.2,32.4,1187.21,714.5,124.2,30,28,26.7
0,510.23,0,154.5,77.2,32.4,1187.21,714.5,124.2,22,28,26.5
0,510.23,0,165.5,66.2,32.4,1187.21,714.5,124.2,23,28,29.7
0,510.23,0,173.8,57.9,32.4,1187.21,714.5,124.2,24,28,27.25
0,500,0,163,65,5,825,825,40,27,7,27.6
0,500,0,163,65,5,825,825,40,27,28,43.5
140,240,0,163,65,4,825,825,32,27,7,17.4
140,240,0,163,65,4,825,825,32,27,28,22.8
157.5,270,0,163,65,4.5,825,825,36,27,7,18.5
157.5,270,0,163,65,4.5,825,825,36,27,28,23.7
140,240,0,163,65,4,825,825,32,27,7,20.4
140,240,0,163,65,4,825,825,32,27,28,30.4
157.5,270,0,163,65,4.5,825,825,36,27,7,20.8
157.5,270,0,163,65,4.5,825,825,36,27,28,31.2
140,240,0,163,65,4,825,825,32,27,7,24.8
140,240,0,163,65,4,825,825,32,27,28,38.4
157.5,270,0,163,65,4.5,825,825,36,27,7,25.6
157.5,270,0,163,65,4.5,825,825,36,27,28,40.2
0,468.08,0,157.13,62.85,28.08,1066.66,678.8,112.34,25,28,34.61
0,468.08,0,157.13,62.85,28.08,1066.66,678.8,112.34,25,28,32
0,468.08,0,157.13,62.85,28.08,1066.66,678.8,112.34,25,28,33.4
0,468.08,0,146.66,73.33,28.08,1066.66,685.6,112.34,25,28,32.42
0,468.08,0,165,55,28.08,1066.66,673.6,112.34,25,28,21.42
0,468.08,0,157.13,62.85,18.72,1066.66,701.4,112.34,25,28,23.33
0,468.08,0,157.13,62.85,37.45,1066.66,656.2,112.34,25,28,32.98
0,468.08,0,157.13,62.85,28.08,1066.66,678.8,84.25,25,28,31.84
0,468.08,0,157.13,62.85,28.08,1066.66,678.8,98.3,25,28,34.59
440,0,0,98,56,0,723,1085,0,60,3,25
440,0,0,98,56,0,723,1085,0,60,7,30
440,0,0,98,56,0,723,1085,0,60,28,35
414,0,0,104,104,0,588,1091,0,60,7,40.73
414,0,0,104,104,0,588,1091,0,60,28,46.67
414,0,0,104,104,0,588,1091,0,61,7,42.91
414,0,0,104,104,0,588,1091,0,61,28,54.4
414,0,0,104,104,0,588,1091,0,62,7,41.2
414,0,0,104,104,0,588,1091,0,62,28,43.42
414,0,0,138,69,0,588,1091,0,59,7,37.69
414,0,0,138,69,0,588,1091,0,59,28,40.09
414,0,0,138,69,0,588,1091,0,58,7,38.85
414,0,0,138,69,0,588,1091,0,58,28,48.18
414,0,0,138,69,0,588,1091,0,57,7,39.27
414,0,0,138,69,0,588,1091,0,57,28,49.5
350,0,0,100,65.6,0,663.68,1327.37,0,30,28,23
175,175,0,100,65.6,0,677.18,1354.36,0,30,28,43
0,350,0,100,65.6,0,690.67,1381.35,0,30,28,60
400,0,0,114.29,74.97,0,632.43,1264.86,0,30,28,28
200,200,0,114.29,74.97,0,647.85,1295.71,0,30,28,46
0,400,0,114.29,74.97,0,663.28,1326.55,0,30,28,71
450,0,0,128.57,84.34,0,601.18,1202.36,0,30,28,40
225,225,0,128.57,84.34,0,618.53,1237.06,0,30,28,55
0,450,0,128.57,84.34,0,635.88,1271.76,0,30,28,78
400,0,0,92.86,60.91,0,649.86,1299.73,0,30,28,31
200,200,0,92.86,60.91,0,665.29,1330.58,0,30,28,53.3
0,400,0,92.86,60.91,0,680.71,1361.42,0,30,28,79.4
400,0,0,135.71,89.03,0,615,1299.99,0,30,28,25.3
200,200,0,135.71,89.03,0,630.42,1260.84,0,30,28,43.4
0,400,0,135.71,89.03,0,645.84,1291.69,0,30,28,62.1
400,0,0,114.29,60.34,0,632.43,1264.86,0,30,28,26.9
200,200,0,114.29,60.34,0,647.85,1295.71,0,30,28,44.1
0,400,0,114.29,60.34,0,663.28,1326.55,0,30,28,62.1
400,0,0,114.29,60.34,0,632.43,1264.86,0,30,28,28.6
200,200,0,114.29,60.34,0,647.85,1295.71,0,30,28,46.7
0,400,0,114.29,60.34,0,663.28,1326.55,0,30,28,66.2
400,0,0,114.29,60.34,0,632.43,1264.86,0,30,28,30.9
200,200,0,114.29,60.34,0,647.85,1295.71,0,30,28,50.5
0,400,0,114.29,60.34,0,663.28,1326.55,0,30,28,71.8
400,0,0,106.67,87.46,0,632.43,1264.86,0,30,28,27.8
200,200,0,106.67,87.46,0,647.85,1295.71,0,30,28,43.4
0,400,0,106.67,87.46,0,663.28,1326.55,0,30,28,58.6
400,0,0,120,65.6,0,632.43,1264.86,0,30,28,31
200,200,0,120,65.6,0,647.85,1295.71,0,30,28,51.3
0,400,0,120,65.6,0,663.28,1326.55,0,30,28,78.3
350,0,0,100,65.6,0,663.68,1327.37,0,60,28,27
175,175,0,100,65.6,0,677.18,1354.36,0,60,28,43
0,350,0,100,65.6,0,690.67,1381.35,0,60,28,54
400,0,0,114.29,74.97,0,632.43,1264.86,0,60,28,34
200,200,0,114.29,74.97,0,647.85,1295.71,0,60,28,50
0,400,0,114.29,74.97,0,663.28,1326.55,0,60,28,62
450,0,0,128.57,84.34,0,601.18,1202.36,0,60,28,43
225,225,0,128.57,84.34,0,618.53,1237.06,0,60,28,58
0,450,0,128.57,84.34,0,635.88,1271.76,0,60,28,71
400,0,0,92.86,60.91,0,649.86,1299.73,0,60,28,36.4
200,200,0,92.86,60.91,0,665.29,1330.58,0,60,28,55.5
0,400,0,92.86,60.91,0,680.71,1361.42,0,60,28,71.3
400,0,0,135.71,89.03,0,615,1299.99,0,60,28,29.6
200,200,0,135.71,89.03,0,630.42,1260.84,0,60,28,45.2
0,400,0,135.71,89.03,0,645.84,1291.69,0,60,28,55.8
400,0,0,114.29,60.34,0,632.43,1264.86,0,60,28,31.5
200,200,0,114.29,60.34,0,647.85,1295.71,0,60,28,45.9
0,400,0,114.29,60.34,0,663.28,1326.55,0,60,28,55.8
400,0,0,114.29,60.34,0,632.43,1264.86,0,60,28,33.6
200,200,0,114.29,60.34,0,647.85,1295.71,0,60,28,48.7
